72,MPL Indonesia Season 1,A,1132018,1042018,1.2.48 – 1.2.68,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1,30122023,72_MPL Indonesia Season 1.csv
73,MLBB Southeast Asia Cup 2017,A,9012017,3092017,null,https://liquipedia.net/mobilelegends/MSC/2017,30122023,73_MLBB Southeast Asia Cup 2017.csv
74,Liga Esports National 2023 - Liga 1,B,10062023,3122023,1.8.20 – 1.8.30B,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/1,30122023,74_Liga Esports National 2023 - Liga 1.csv
75,Unipin Ladies Series SEA Championship 2023,B,11272023,3122023,null,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series_SEA_Championship/2023,30122023,75_Unipin Ladies Series SEA Championship 2023.csv
76,Esports National Championship 2023,B,11072023,19112023,1.8.30B,https://liquipedia.net/mobilelegends/Esports_National_Championship/2023,30122023,76_Esports National Championship 2023.csv
77,Light of Dawn Pro-Invitational Tournament Season 2,B,10142023,12112023,null,https://liquipedia.net/mobilelegends/Light_of_Dawn_Pro-Invitational_Tournament/Season_2,30122023,77_Light of Dawn Pro-Invitational Tournament Season 2.csv
78,GG Gaming Festival - 2023,B,10072023,5112023,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/GG_Gaming_Festival/2023,30122023,78_GG Gaming Festival - 2023.csv
79,MDL Indonesia Season 8,B,7102023,29102023,1.7.94 – 1.8.22,https://liquipedia.net/mobilelegends/MDL/Indonesia/Season_8,30122023,79_MDL Indonesia Season 8.csv
80,MDL Philippines Season 2,B,8292023,22102023,1.8.08,https://liquipedia.net/mobilelegends/MDL/Philippines/Season_2,30122023,80_MDL Philippines Season 2.csv
81,Piala Presiden Esports 2023,B,9292023,22102023,1.8.20 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023,30122023,81_Piala Presiden Esports 2023.csv
82,Malaysia Esports League 2023,B,10212023,22102023,1.8.22,https://liquipedia.net/mobilelegends/Malaysia_Esports_League/2023,30122023,82_Malaysia Esports League 2023.csv
83,Johor All Star Esports Championship 2023,B,10202023,22102023,1.8.22,https://liquipedia.net/mobilelegends/Johor_All_Star_Esports_Championship/2023,30122023,83_Johor All Star Esports Championship 2023.csv
84,Piala Presiden Esports 2023 Women,B,9032023,21102023,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/Piala_Presiden/2023/Women,30122023,84_Piala Presiden Esports 2023 Women.csv
85,MTC Turkiye Championship Season 2,B,8262023,15102023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2,30122023,85_MTC Turkiye Championship Season 2.csv
86,MPL Cambodia Autumn 2023,B,8122023,8102023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Cambodia/2023/Autumn,30122023,86_MPL Cambodia Autumn 2023.csv
87,MLBB Continental Championships Season 2,B,8122023,8102023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_2,30122023,87_MLBB Continental Championships Season 2.csv
88,North America Challenger Tournament Fall 2023,B,8052023,1102023,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/NACT/2023/Fall,30122023,88_North America Challenger Tournament Fall 2023.csv
89,ESN National Championship 2023,B,9112023,1102023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/ESN/National_Championship/2023,30122023,89_ESN National Championship 2023.csv
90,Piala Ketum Kadin Esports 2023,B,9012023,24092023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Piala_Ketum_Kadin_Esports/2023,30122023,90_Piala Ketum Kadin Esports 2023.csv
91,Liga Esports National 2023 - Liga 2,B,8252023,24092023,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/Liga_Esports_National/2023/Liga/2,30122023,91_Liga Esports National 2023 - Liga 2.csv
92,M Challenge Cup Mekong Season 2,B,8052023,23092023,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/M_Challenge_Cup/Mekong/Season_2,30122023,92_M Challenge Cup Mekong Season 2.csv
93,Unipin Ladies Series Season 3,B,8072023,10092023,null,https://liquipedia.net/mobilelegends/Unipin_Ladies_Series/ID/Season_3,30122023,93_Unipin Ladies Series Season 3.csv
94,WOWNOW & Prince Mall League Season 2,B,8092023,3092023,1.8.08,https://liquipedia.net/mobilelegends/WOWNOW_%26_Prince_Mall_League/Season_2,30122023,94_WOWNOW & Prince Mall League Season 2.csv
95,MLBB LATAM Super League South Season 3,B,7012023,27082023,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/South/Season_3,30122023,95_MLBB LATAM Super League South Season 3.csv
96,MPL Brazil Season 5,B,7082023,26082023,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_5,30122023,96_MPL Brazil Season 5.csv
97,MLBB LATAM Super League North Season 2,B,7012023,20082023,1.7.94 – 1.8.08,https://liquipedia.net/mobilelegends/MLBB_Latam_Super_League/North/Season_2,30122023,97_MLBB LATAM Super League North Season 2.csv
98,MTC Turkiye Championship Season 2,B,8122023,13082023,null,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_2,30122023,98_MTC Turkiye Championship Season 2.csv
99,MTC Turkiye Championship Season 2,B,8052023,6082023,null,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_2/Open_Qualifiers_1,30122023,99_MTC Turkiye Championship Season 2.csv
100,WSL Season 7,B,6302023,30072023,null,https://liquipedia.net/mobilelegends/WSL/Season_7,30122023,100_WSL Season 7.csv
101,World Cyber Games 2023,B,6032023,30072023,null,https://liquipedia.net/mobilelegends/World_Cyber_Games/2023,30122023,101_World Cyber Games 2023.csv
102,Juicy Legends Tournament 2023 Q2 Pro Division,B,6232023,30072023,null,https://liquipedia.net/mobilelegends/Juicy_Legends_Tournament/2023/Q2/Pro,30122023,102_Juicy Legends Tournament 2023 Q2 Pro Division.csv
103,Phygital Games #9,B,7202023,23072023,1.7.94,https://liquipedia.net/mobilelegends/Phygital_Games/9,30122023,103_Phygital Games #9.csv
104,IESF World Esports Championship 2023 - Asia & Oceania Qualifier,B,7102023,13072023,null,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023/Asia%26Oceania,30122023,104_IESF World Esports Championship 2023 - Asia & Oceania Qualifier.csv
105,Piala Bung Karno Esports 2023,B,6252023,4072023,null,https://liquipedia.net/mobilelegends/Piala_Bung_Karno_Esports/2023,30122023,105_Piala Bung Karno Esports 2023.csv
106,H3RO Esports 4.0,B,6022023,25062023,1.6.94B,https://liquipedia.net/mobilelegends/H3RO_Esports/4.0,30122023,106_H3RO Esports 4.0.csv
107,MESA Legends Series #1,B,6192023,22062023,null,https://liquipedia.net/mobilelegends/MESA_Legends_Series/1,30122023,107_MESA Legends Series #1.csv
108,Last Victory Invitational 2023,B,5312023,16062023,null,https://liquipedia.net/mobilelegends/Last_Victory/Invitational/2023,30122023,108_Last Victory Invitational 2023.csv
109,Kohai SEA Championship Season 1,B,6012023,4062023,null,https://liquipedia.net/mobilelegends/Kohai_SEA_Championship/Season_1,30122023,109_Kohai SEA Championship Season 1.csv
110,MTC Turkiye Championship Season 1,B,4082023,21052023,1.7.68 – 1.7.82,https://liquipedia.net/mobilelegends/MTC_Turkiye_Championship/Season_1,30122023,110_MTC Turkiye Championship Season 1.csv
111,North America Challenger Tournament Spring 2023,B,3112023,14052023,null,https://liquipedia.net/mobilelegends/NACT/2023/Spring,30122023,111_North America Challenger Tournament Spring 2023.csv
112,MLBB Continental Championships Season 1,B,4012023,14052023,1.7.68,https://liquipedia.net/mobilelegends/MLBB_Continental_Championships/Season_1,30122023,112_MLBB Continental Championships Season 1.csv
113,MPL Brazil Season 4,B,3112023,7052023,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Brazil/Season_4,30122023,113_MPL Brazil Season 4.csv
